campo,longitud,obligatorio,llave_unica,descripcion,formato,observaciones
11,1,No,No,Tipo de Documento de Identidad del proveedor,Alfanumérico,"1. Obligatorio, excepto cuando \n    a. campo 6 = '00','03','05','06','07','08','11','12','13','14','15','16','18','19','22','23','26','28','30','34','35','36','37','55','56','87','88', '91', '97' y '98' o\n    b. campo 6 = '07', '08', '87', '88', '97', '98' y campo 28 = '03', '12', '13', '14' y '36' \n    en cuyos casos será opcional\n2. Validar con parámetro tabla 2, no acepta el tipo de documento 0"
12,Hasta 15,No,No,"Número de RUC del proveedor o número de documento de Identidad, según corresponda.",Alfanumérico,"1. Obligatorio, excepto cuando \n    a. campo 6 = '00','03','05','06','07','08','11','12','13','14','15','16','18','19','22','23','26','28','30','34','35','36','37','55','56','87','88', '91', '97' y '98' o \n    b. campo 6 = '07', '08', '87', '88', '97', '98' y campo 28 = '03', '12', '13', '14' y '36' \n    en cuyos casos será opcional\n2. Aplicar Regla General (por tipo de doc.)"
13,Hasta 100,No,No,"Apellidos y nombres, denominación o razón social  del proveedor. En caso de personas naturales se debe consignar los datos en el siguiente orden: apellido paterno, apellido materno y nombre completo.",Texto,"1. Obligatorio, excepto cuando \n    a. campo 6 = '00','03','05','06','07','08','11','12','13','14','15','16','18','19','22','23','26','28','30','34','35','36','37','55','56','87','88', '91', '97' y '98' o \n    b. campo 6 = '07', '08', '87', '88', '97', '98' y campo 28 = '03', '12', '13', '14' y '36'"
14,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,"Base imponible de las adquisiciones gravadas que dan derecho a crédito fiscal y/o saldo a favor por exportación, destinadas exclusivamente a operaciones gravadas y/o de exportación",Numérico,1. Acepta negativos
15,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,Monto del Impuesto General a las Ventas y/o Impuesto de Promoción Municipal,Numérico,1. Negativo si campo 14 es negativo\n2. Positivo si campo 14 es positivo\n3. Impuesto que corresponde a la adquisición registrada conforme lo dispuesto en el campo 14.
16,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,"Base imponible de las adquisiciones gravadas que dan derecho a crédito fiscal y/o saldo a favor por exportación, destinadas a operaciones gravadas y/o de exportación y a operaciones no gravadas",Numérico,1. Acepta negativos
17,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,Monto del Impuesto General a las Ventas y/o Impuesto de Promoción Municipal,Numérico,1. Negativo si campo 16 es negtivo\n2. Positivo si campo 16 es positivo\n3. Impuesto que corresponde a la adquisición registrada conforme lo dispuesto en el campo 16.
18,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,"Base imponible de las adquisiciones gravadas que no dan derecho a crédito fiscal y/o saldo a favor por exportación, por no estar destinadas a operaciones gravadas y/o de exportación.",Numérico,1. Acepta negativos 
19,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,Monto del Impuesto General a las Ventas y/o Impuesto de Promoción Municipal,Numérico,1. Negativo si campo 18 es negativo.\n2. Positivo si campo 18 es positivo.\n2. Impuesto que corresponde a la adquisición registrada conforme lo dispuesto en el campo 18.
20,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,Valor de las adquisiciones no gravadas,Numérico,1. Acepta negativos
21,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,Monto del Impuesto Selectivo al Consumo en los casos en que el sujeto pueda utilizarlo como deducción.,Numérico,1. Acepta negativos
22,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,Impuesto al Consumo de las Bolsas de Plástico.,Numérico,"1. Acepta negativos.\n2. Opcional,       excepto       cuando       el       campo       6      = '01','03','07','08',""12"",'87' o '88' en cuyo caso es obligatorio, y el valor por defecto es 0.00."
23,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",No,No,"Otros conceptos, tributos y cargos que no formen parte de la base imponible.",Numérico,1. Acepta negativos
24,"Hasta 12 enteros y hasta 2 decimales, sin comas de miles",Si,No,Importe total de las adquisiciones registradas según comprobante de pago.,Numérico,1. Obligatorio\n2. Acepta negativos\n3. Suma de los campos 14 al 23
25,3,No,No,Código  de la Moneda (Tabla 4),Alfanumérico,1. Validar con parámetro tabla 4
26,1 entero y 3 decimales,No,No,Tipo de cambio (3).,Numérico,1.  #.###\n2. Positivo
27,10,No,No,Fecha de emisión del comprobante de pago que se modifica (4).,DD/MM/AAAA,"1. Obligatorio, si campo 6 = '07' o '08' o '87' o '88' o '97' o '98'\n2. Menor o igual al periodo informado\n3. Menor o igual al periodo señalado en el campo 1."
28,2,No,No,Tipo de comprobante de pago que se modifica (4).,Numérico,1. Obligatorio si campo 6 = '07' o '08' o '87' o '88' o '97' o '98'\n2. Validar con parámetro tabla 10
29,Hasta 20,No,No,Número de serie del comprobante de pago que se modifica (4).,Alfanumérico,1. Obligatorio si campo 6 = '07' o '08' o '87' o '88' o '97' o '98'\n2. Aplicar Regla General (por tipo de doc.)
30,3,No,No,Código de la dependencia Aduanera de la Declaración Única de Aduanas (DUA) o de la Declaración Simplificada de Importación (DSI) .,Alfanumérico,"1. Obligatorio si campo 28 = '50' , '52'. Validar con parámetro tabla 11"
31,Hasta 20,No,No,Número del comprobante de pago que se modifica (4).,Alfanumérico,1. Obligatorio si campo 6 = '07' o '08' o '87' o '88' o '97' o '98'
32,10,No,No,Fecha de emisión de la Constancia de Depósito de Detracción (5),DD/MM/AAAA,1. Menor o igual al mes siguiente del periodo informado\n2. Menor o igual al mes siguiente del periodo señalado en el campo 1.
33,Hasta 24,No,No,Número de la Constancia de Depósito de Detracción (5),Alfanumérico,"1. Positivo, de ser numérico"
34,1,No,No,Marca del comprobante de pago sujeto a retención,Numérico,1. Si identifica el comprobante sujeto a retención consignar '1' caso contrario no consignar nada
35,1,No,No,"Clasificación de los bienes y servicios adquiridos (Tabla 30) \nAplicable solo a los contribuyentes que hayan obtenido ingresos mayores a 1,500 UIT en el ejercicio anterior",Numérico,1. Validar con parámetro tabla 30
36,12,No,No,"Identificación del Contrato o del proyecto en el caso de los Operadores de las sociedades irregulares, consorcios, joint ventures u otras formas de contratos de colaboración empresarial, que no lleven contabilidad independiente.",Texto,"1. Uso exclusivo para los Operadores de las sociedades irregulares, consorcios, joint ventures u otras formas de contratos de colaboración empresarial, que no lleven contabilidad independiente. En este caso, deberán identificar cada contrato o proyecto."
37,1,No,No,Error tipo 1: inconsistencia en el tipo de cambio,Numérico,"1. El tipo de cambio (campo 26) correspondiente a la fecha de emisión (campo 4) debe ser igual al tipo de cambio (campo 3) correspondiente a la fecha (campo 1) de la Estructura 1 Tipo de Cambio, del mismo periodo, caso contrario se debe consignar ""1"". Esto se aplica a todos los tipos de comprobantes de pago, excepto el tipo 14 (tabla 10).\n2. El tipo de cambio (campo 26) correspondiente a la fecha de vencimiento (campo 5) debe ser igual al tipo de cambio (campo 3) correspondiente a la fecha (campo 1) de la Estructura 1 Tipo de Cambio, del mismo periodo, caso contrario se debe consignar ""1"". Esto se aplica sólo al tipo de comprobantes de pago 14 (tabla 10)."
38,1,No,No,Error tipo 2: inconsistencia por proveedores no habidos,Numérico,"1. El número de RUC (campo 12) no debe ser igual al número de RUC (campo 1) de la Estructura 2 Padrón de RUCs no Habidos, siempre que la fecha (campo 4) se encuentre comprendida entre la fecha de inicio en que adquirió la condición de no habido (campo 2) y la la fecha de fin de la condición de no habido (campo3) de la  Estructura 2 Padrón de RUCs no Habidos, caso contrario se debe consignar ""1"". Esto se aplica a todos los tipos de comprobantes de pago (tabla 10)."
39,1,No,No,Error tipo 3: inconsistencia por proveedores que renunciaron a la exoneración del Apéndice I del IGV,Numérico,"1. El número de RUC (campo 12) no debe ser igual al número de RUC (campo 1) de la Estructura 3 Padrón de RUCs que renunciaron a la exoneración del IGV, siempre que la fecha (campo 4) sea menor a la fecha que renunció a la exoneración del IGV (campo 2) de la  Estructura 3 Padrón de RUCs que renunciaron a la exoneración del IGV, en caso contrario se debe consignar ""1"". Esto se aplica a todos los tipos de comprobantes de pago (tabla 10)."
40,1,No,No,Error tipo 4: inconsistencia por DNIs que fueron utilizados en las Liquidaciones de Compra y que ya cuentan con RUC,Numérico,"1. El número de DNI (campo 12) no debe ser igual al número de DNI (campo 1) de la Estructura 4 Padrón de RUCs asociados al DNI, siempre que la fecha (campo 4) sea menor a la fecha que se crea el RUC (campo 3) de la  Estructura 4 Padrón de RUCs asociados al DNI, en caso contrario se debe consignar ""1"". Esto se aplica sólo al tipo de comprobante de pago 04 ""Liquidaciones de Compra"" (tabla 10)."
41,1,No,No,Indicador de Comprobantes de pago cancelados con medios de pago,Numérico,"1. Consignar ""1"" si el comprobante de pago fue cancelado con algún medio de pago establecido en la tabla 1, caso contrario no consignar nada"
42,1,Si,No,Estado que identifica la oportunidad de la anotación o indicación si ésta corresponde a un ajuste.,Numérico,"1. Obligatorio\n2. Registrar '0' cuando el Comprobante de Pago o documento no da derecho al crédito fiscal.\n3. Registrar '1' cuando se anota el Comprobante de Pago o documento en el periodo que se emitió o que se pagó el impuesto, según corresponda, y da derecho al crédito fiscal.\n4. Registrar '6' cuando la fecha de emisión del Comprobante de Pago o de pago del impuesto, por operaciones que dan derecho a crédito fiscal, es anterior al periodo de anotación y esta se produce dentro de los doce meses siguientes a la emisión o pago del impuesto, según corresponda.\n5. Registrar '7' cuando la fecha de emisión del Comprobante de Pago o pago del impuesto, por operaciones que no dan derecho a crédito fiscal, es anterior al periodo de anotación y esta se produce luego de los doce meses siguientes a la emisión o pago del impuesto, según corresponda.\n6. Registrar '9' cuando se realice un ajuste o rectificación en la anotación de la información de una operación registrada en un periodo anterior."
43 al 84,Hasta 200,No,No,Campos de libre utilización.,Texto,"1. En caso de no tener la necesidad de utilizarlos, no incluya  ni la información ni los palotes."
